sample	celltype
M06111442	Sst
M06111443	Sst
M06111444	Sst
M06111445	Sst
M06111446	Sst
M06111447	Sst
M06111448	Sst
M07081401	Sst
M07081402	Sst
M07081403	Sst
M07081404	Sst
M07081405	Sst
M07081406	Sst
M07081407	Sst
M07081408	Sst
M07081409	Sst
M07081410	Sst
M07081411	Sst
M07081412	Sst
M07081413	Sst
M07081414	Sst
M07081415	Sst
M07081416	Sst
M07081417	Sst
M07081418	Pvalb
M07081419	Sst
M07081420	Sst
M07081421	Sst
M07081422	Sst
M07081423	Sst
M07081425	Sst
M07081426	Sst
M07081427	Sst
M07081428	Sst
M07081429	Pvalb
M07081430	Sst
M07081431	Pvalb
M07081433	Sst
M07081434	Pvalb
M07081435	Sst
M07081436	Sst
M07081437	Sst
M07081438	Sst
M07081439	Sst
M07181401	Sst
M07181402	Sst
M07181403	Sst
M07181404	Sst
M07181405	Sst
M07181406	Sst
M07181407	Sst
M07181408	Sst
M07181409	Sst
M07181410	Sst
M07181411	Sst
M07181412	Sst
M07181413	Sst
M07181414	Sst
M07181415	Sst
M07181416	Sst
M07181417	Sst
M07181418	Sst
M07181419	Pvalb
M07181420	Sst
M07181421	Sst
M07181422	Sst
M07181423	Sst
M07181424	Sst
M13120933	Sst
M13120934	Sst
M13120935	Sst
M13120936	Sst
M13120937	Sst
M13120938	Sst
M13120939	Pvalb
M13120940	Sst
N01241417	L4
N01241418	L4
N01241419	L4
N01241420	L4
N01241421	L4
N01241422	L4
N01241423	L4
N01241424	L4
N07011401	L4
N07011402	L4
N07181401	L4
N07181402	L4
N07181403	L4
N07181404	L4
N07181405	L4
N07181406	L4
N07181407	L4
N07181408	L4
N12081441	L4
N12081442	L4
N12081444	L4
N12081446	L4
N12091433	L4
N12091436	L4
N12091437	L4
N12091438	L4
N12091439	L4
N12091440	L4
N12111425	L4
N12111426	L4
N12111427	L4
N12111428	L4
N12111429	L4
N12111430	L4
N12111431	L4
N12111432	L4
N13121009	L5a
N13121011	L4
N13121012	L4
N13121013	L4
N13121014	L4
N13121015	L4
N13121016	L4
N14042541	L2/3
N14042542	L4
N14042543	L4
N14042544	L4
N14042545	L4
Nd02061511n	Glia
Nd02061512n	Sst
Nd02061513n	L2
Nd02061514n	Glia
Nd02061515n	Glia
Nd02061516n	Glia
Nd02061517n	Glia
Nd02061518n	L2
Nd02061519n	L2
Nd02061520n	Glia
Nd02061521n	SMC
Nd02061522n	Ndnf
Nd02061523	SMC
Nd02061524	L6
Nd02061525	Endothelial
Nd02061530	Endothelial
Nd02061531	SMC
Nd02061532	SMC
Nd02061533	Endothelial
Nd02061534	Endothelial
Nd02061535	Endothelial
Nd02061536	Endothelial
Nd02061537	Endothelial
Nd02061538	Endothelial
Nd12181433	Ndnf
Nd12181434	Ndnf
Nd12181435	Ndnf
Nd12181436	Ndnf
Nd12181437	Ndnf
Nd12181438	Ndnf
Nd12181439	Ndnf
P01241401	Pvalb
P01241402	Pvalb
P01241403	Pvalb
P01241404	Pvalb
P01241405	Pvalb
P01241406	Pvalb
P01241407	Pvalb
P01241408	Sst
P12081420	Pvalb
P12081421	Pvalb
P12081422	Pvalb
P12081423	Pvalb
P12081424	Pvalb
P12081425	Pvalb
P12081426	Vip
P12081427	Pvalb
P12081428	Pvalb
P12081429	Pvalb
P12081430	Pvalb
P12081431	Pvalb
P12081432	Pvalb
P12081433	Pvalb
P12081434	Pvalb
P12081435	Pvalb
P12081436	Pvalb
P12081437	Pvalb
P12081438	Pvalb
P12081439	Pvalb
P12081440	Pvalb
P14042509	Pvalb
P14042510	Pvalb
P14042511	Pvalb
P14042513	Pvalb
P14042514	Pvalb
P14042515	Pvalb
P14042516	Pvalb
P14042517	Pvalb
P14042518	Pvalb
P14042519	Pvalb
P14042520	Pvalb
P14042521	Pvalb
P14042522	Pvalb
P14042523	Pvalb
P14042524	Pvalb
Q02271447	L4
Q02271448	L5a
Q02271449	L4
Q02271450	L4
Q02271451	L4
Q06061425	L4
Q06061426	L4
Q06061427	L4
Q06061428	L4
Q06061429	L4
Q06061431	L4
Q06061432	L4
Q08041410	L5a
Q08041411	L4
Q08041412	L4
Q08041413	L4
Q08041414	L4
Q08041415	L4
Q08041416	L4
R01241409	L5
R01241410	L5a
R01241411	L5
R01241412	L5a
R01241413	L5a
R01241414	L5a
R01241415	L5
R01241416	L5b
R02131501	L5
R02131503	L5
R02131504	L5a
R02131505	L5
R02131506	L5a
R02131507	L5a
R02131508	L5b
R02131509	L4
R02131510	L5b
R02131511	L5a
R02131512	L4
R02131513	L5a
R02131514	L5b
R02131515	L6
R02131516	L5
R02131517	L5a
R02131518	L5a
R02131519	L5a
R02131520	L5
R02131521	L5a
R02131522	L4
R02131523	L5
R02131524	L6
R02131525	L6
R02131526	L5b
R02131528	L4
R02131529	L4
R02131530	L4
R02131531	L4
R02131532	L5
R02131533	L5b
R02131534	L6
R02131535	L5a
R02131536	L5b
R02131537	L5b
R02131538	L5
R02131539	L5b
R02131540	L5b
R05081401m	Glia
R05081402m	Glia
R05081403m	Glia
R05081404m	Glia
R05081405m	Glia
R05081406m	Glia
R05081407m	Glia
R05081408m	L4
R05081409m	Glia
R05081410m	Glia
R05081411m	Glia
R05081412m	Glia
R05081413m	Glia
R05081414m	Glia
R05081415m	Glia
R05081416m	Glia
R05081418m	Glia
R05081419m	Glia
R05081420m	Glia
R05081421m	Glia
R05081422m	Glia
R05081423m	Glia
R05081424m	Glia
R05081425	L5
R05081426	L5b
R05081427	L5
R05081430	L5a
R05081431	Pvalb
R05081432	L5b
R05081433	L5
R05081434	L5b
R05081435	L5a
R05081436	L5a
R05081437	L5b
R05081438	L5a
R05081439	L5a
R05081440	L5b
R05081441	L4
R05081442	L4
R05081443	L5a
R05081444	L5b
R05081445	L5a
R05081446	L5a
R05081447	L5a
R05081448	L5b
R06111401	L5a
R06111402	L5b
R06111403	L5a
R06111404	L5b
R06111405	L5b
R06111406	L5b
R06111407	L5b
R06111408	L5b
R06111409	L5b
R06111410	L4
R06111411	L5a
R06111412	L5b
R06111413	L5b
R06111414	L5b
R06111415	L4
R06111416	L5b
R06111417	L5a
R06111418	L5a
R06111419	L5b
R06111420	L5a
R06111421	L5b
R06111422	L5b
R06111423	L5b
R06111424	L5a
R06111425	L5b
R06111426	L5a
R06111427	L5b
R06111428	L5a
R06111429	L5a
R06111430	L6a
R06111431	L5
R06111432	L5b
R06111433	L5b
R06111434	L5
R06111435	L5
R06111436	L5a
R06111437	L5a
R06111438	L5b
R06111439	L5b
R06111440	L5a
R07161401	L5b
R07161402	L5b
R07161403	L5a
R07161404	L5a
R07161405	L5
R07161406	L5b
R07161407	L5a
R07161408	L5a
R07161409	L5b
R07161410	L5b
R07161411	L5b
R07161412	L5
R07161413	L5a
R07161414	L5a
R07161415	L6a
R07161416	L5b
R14042101	L5a
R14042102	Sst
R14042103	L5b
R14042104	L5b
R14042105	L5a
R14042106	L5b
R14042107	L5b
R14042108	L5a
R14042109	L5a
R14042113	L5a
R14042118	L5a
R14042119	L4
R14042120	L5a
R14042121	L5b
R14042122	L5a
R14042123	L5b
R14042124	L5a
R14042125	L4
R14042126	L5a
R14042127	L4
R14042128	L5a
R14042129	L5a
R14042130	L5a
R14042131	L5b
R14042132	L5b
R14042133	L5a
R14042134	L5b
R14042135	L5b
R14042136	L5a
R14042137	L5a
R14042138	L5
R14042139	L5a
R14042140	L6a
R14042149	L4
R14042150	L5a
R14042151	L6a
R14042152	L6a
R14042153	L5a
R14042154	L6a
R14042155	L4
R14042156	L5a
R14042501	L5a
R14042502	L5a
R14042503	L5a
R14042504	L5b
R14042505	L6
R14042506	L5
R14042507	L5
R14042508	L5a
S02271426	L4
S02271427	L4
S02271428	L4
S02271429	L4
S02271430	L4
S02271431	L4
S02271432	L4
S06041401	L4
S06041402	L4
S06041403	L4
S06041404	L4
S06041405	L4
S06041406	L4
S06041408	L4
S06041409	L4
S06041410	L4
S06041411	L4
S06041412	L4
S06041413	L4
S06041414	L4
S06041415	L4
S06041416	L4
S06051401	L4
S06051402	L4
S06051404	L4
S06051405	L4
S06051406	L4
S06051407	L4
S06051408	L4
S06051409	L4
S06051410	L4
S06051411	L4
S06051412	L4
S06051413	L4
S06051414	L4
S06051415	L4
S06051416	L4
S06051417	L4
S06051418	L4
S06051419	L4
S06051420	L4
S06051421	L4
S06051422	L4
S06051423	L4
S06051425	L4
S06051426	L4
S06051427	L4
S06051428	L4
S06051429	L4
S06051430	L4
S06051431	L4
S06051433	L4
S06051434	L4
S06051435	L4
S06051437	L4
S06051438	L4
S06051439	L4
S06051440	L4
S06061401m	Glia
S06061402m	Glia
S06061403m	Glia
S06061404m	Glia
S06061405m	Glia
S06061406m	Glia
S06061407m	Glia
S06061408m	Glia
S06061409m	Glia
S06061410m	Glia
S06061411m	Glia
S06061412m	Glia
S06061413m	Glia
S06061414m	Glia
S06061416m	Glia
S06061417m	Glia
S06061418m	Glia
S06061419m	Glia
S06061420m	Glia
S06061421m	L5
S06061422m	Glia
S06061423m	Glia
S06061424m	Glia
S08041403	L4
S08041404	L5a
S08041405	L6a
S08041406	L6a
S08041407	L4
S08041408	L5a
S09121402	L4
S09121403	L4
S09121404	L4
S09121405	L4
S09121406	L4
S09121407	L4
S09121409	L4
S09121410	L4
S09121412	L4
S09121413	L4
S09121414	L4
S09121415	L4
S09121416	L4
S09121417	L4
S09121418	L5a
S09121420	L4
S09121421	L4
S09121422	L4
S09121423	L5a
S09121424	L4
S09121426	L4
S09121427	L4
S09121428	L4
S09121429	L4
S09121430	L4
S09121431	L4
S09121432	L4
S13120925	L4
S13120926	L4
S13120927	L4
S13120928	L4
S13120929	L4
S13120930	L4
S13120931	L4
S13120932	L4
Sc01151501	L6a
Sc01151502	L2/3
Sc01151503	L6a
Sc01151504	L2
Sc01151505	L6
Sc01151506	L6
Sc01151507	L2/3
Sc01151508	L6
Sc01151509	L6
Sc01151510	L2
Sc01151511	L6a
Sc01151512	L2/3
Sc01151513	L4
Sc01151514	L2
Sc01151515	L2/3
Sc01151516	L6a
Sc01151517	L2/3
Sc01151518	L4
Sc01151519	L2/3
Sc01151520	L5a
Sc01151522	L2/3
Sc01151523	L2/3
Sc01151524	L6a
Sc01151525	L6a
Sc01151526	L2/3
Sc01151527	L4
Sc01151528	L2/3
Sc01151529	L2/3
Sc01151530	L2/3
Sc01151531	L6a
Sc01151532	L2/3
Sc01151533	L6
Sc01151534	L2/3
Sc01151535	L6a
Sc01151536	L2
Sc01151537	L6
Sc01151538	L2/3
Sc01151539	L2/3
Sc01151540	L6a
Sc01151541	L6a
Sc01151542	L2/3
Sc01151543	L2/3
Sc01151544	L6
Sc01151545	L2/3
Sc01151546	L6
Sc01151547	L2/3
Sc01151548	L2
T01101409	L6a
T01101410	L6a
T01101411	L6a
T01101412	L6a
T01101413	L6a
T01101414	L6a
T01101415	L6a
T01101416	L6a
T01141541n	L6
T01141542n	Glia
T01141543n	Glia
T01141544n	L6
T01141545n	Glia
T01141546n	L6
T01141547n	L6
T01141548n	L6
T01141549n	L6
T01141550n	Glia
T01141551n	Glia
T01141552n	Glia
T01141553n	Glia
T01141554n	Glia
T01141555n	L6
T01141556n	Glia
T01141557n	Glia
T01141558n	Glia
T01141559n	Glia
T01141560n	Glia
T01141561n	Glia
T01141562n	Glia
T01141563n	Glia
T01141564n	Glia
T01141565n	Glia
T01141566n	Glia
T01141567n	Glia
T01141569n	Glia
T01141570n	SMC
T01141571n	Glia
T01141572n	L6b
T01141573n	Glia
T01141574n	Glia
T01141575n	L6
T01141577n	L6
T02251501	L6a
T02251502	L6a
T02251503	L6a
T02251504	L6a
T02251505	L6a
T02251506	L6a
T02251507	L6a
T02251508	L6a
T02251509	L6a
T02251510	L6a
T02251517	L6a
T02251518	L6a
T02251519	L6a
T02251520	L6a
T02251521	L6a
T02251522	L6a
T02251523	L6a
T02251524	L6a
T02251525	L6a
T02251526	L6a
T02271417	L6a
T02271418	L6a
T02271419	L6a
T02271420	L6a
T02271421	L6a
T02271422	L6a
T02271423	L6a
T02271424	L6a
T05151401	L6a
T05151402	L6a
T05151403	L6a
T05151404	L6a
T05151405	L6a
T05151406	L6a
T05151407	L6a
T05151408	L6a
T05151409	L6a
T05151410	L6a
T05151411	L6a
T05151412	L6a
T05151413	L6a
T05151414	L6a
T05151415	L6a
T05151416	L6a
T07011401	L6a
T07011402	L6a
T07011403	L6a
T07011406	L6a
T07011407	L6a
T07011408	L6a
T07011409	L6a
T07011410	L6a
T07011411	L6a
T07011412	L6a
T07011413	L6a
T07011414	L6a
T07011415	L6a
T07011416	L6a
T07011417	L6a
T07011418	L6a
T07011419	L6a
T07011420	L6a
T07011421	L6a
T07011422	L6a
T07011423	L6a
T07011424	L6a
T08211401n	L6
T08211402n	L6a
T08211403n	Glia
T08211404n	Glia
T08211405n	L6
T08211406n	Glia
T08211407n	Glia
T08211408n	L6
T08211410n	Glia
T08211411n	Glia
T08211412n	Glia
T08211413n	L6
T08211414n	L6
T10011401n	L6
T10011402n	L6a
T10011403n	L6
T10011404n	L6b
T10021422n	L6
T10021423n	Sst
T10021424n	Vip
T13120917	L6a
T13120918	L6a
T13120919	L6a
Tc02061501	Pvalb
Tc02061502	L5b
Tc02061503	L5b
Tc02061504	Pvalb
Tc02061505	Pvalb
Tc02061507	Pvalb
Tc02061508	Pvalb
Tc02061509	Pvalb
U01101433	SMC
U01101434	Vip
U01101435	Vip
U01101436	Sst
U01101437	Vip
U01101438	Sst
U01101439	Sst
U01101440	Ndnf
U02271409	Igtp
U02271410	Igtp
U02271411	Sst
U02271412	Sst
U02271413	Igtp
U02271414	Sst
U02271415	Sst
U02271416	Sst
U07011401	Sst
U07011402	Sst
U07011403	Ndnf
U07011404	Sst
U07011405	Sst
U07011406	Sst
U11031414	L2/3
U11031415	Sst
U11031416	Sst
U11031434	L5a
U11031435	L5a
U11031437	L5a
U11031438	Sst
U11031439	L5a
U11051401	Igtp
U11051402	Sst
U11051403	L5a
U11051404	L5a
U11051405	Sst
U11051406	Ndnf
U11051407	L6
U11051408	L6
U11051409	Sst
U11051410	Ndnf
U11051411	Igtp
U11051412	L5a
U11051413	L2
U11051414	Sst
U11051415	Ndnf
U11051416	L5a
U11051417	Ndnf
U11051418	Ndnf
U11051420	L5a
U11051421	Sst
U11051422	L5a
U11051423	Sst
U11051424	Sst
U11051425	SMC
U11051426	Ndnf
U11051427	Sst
U11051428	Sst
